,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
63,2016-03-14,640,165,22,9,22,5,4
64,2016-03-16,651,179,23,10,23,6,5
65,2016-03-17,654,184,23,10,23,6,5
66,2016-03-18,665,186,24,10,23,6,5
67,2016-03-19,668,186,24,10,23,6,5
68,2016-03-23,700,207,24,10,23,7,5
69,2016-03-26,706,219,24,10,23,7,5
70,2016-03-27,714,222,24,10,23,7,5
71,2016-03-28,720,230,25,11,24,7,5
72,2016-03-29,748,235,28,11,27,7,5
73,2016-03-30,781,237,31,11,30,7,5
74,2016-03-31,808,245,33,11,32,7,5
75,2016-04-01,837,245,36,11,35,7,5
76,2016-04-02,857,245,37,11,36,7,5
77,2016-04-03,861,245,38,11,37,7,5
78,2016-04-04,861,252,38,11,37,7,5
79,2016-04-07,863,262,38,11,37,7,5
80,2016-04-08,878,266,38,11,37,7,5
81,2016-04-09,880,266,38,11,37,7,5
82,2016-04-10,880,266,38,11,37,7,5
83,2016-04-11,883,272,38,12,37,7,5
84,2016-04-13,887,279,38,12,37,7,5
85,2016-04-14,893,288,38,12,37,7,5
86,2016-04-15,903,289,38,12,37,7,5
87,2016-04-16,907,304,38,12,37,7,5
88,2016-04-18,910,311,38,12,37,7,5
89,2016-04-20,928,315,38,12,37,7,5
90,2016-04-21,941,321,38,12,37,7,5
91,2016-04-22,956,322,38,12,37,7,5
92,2016-04-23,973,324,38,12,37,7,5
93,2016-04-24,982,327,38,12,37,7,5
94,2016-04-26,984,344,38,12,37,7,5
95,2016-04-27,1013,349,39,12,38,7,5
96,2016-04-29,1035,349,40,12,39,7,5
97,2016-04-30,1045,354,40,12,39,7,5
98,2016-05-01,1046,354,40,12,39,7,5
99,2016-05-02,1047,354,40,12,39,7,5
100,2016-05-03,1066,354,42,12,41,7,5
101,2016-05-04,1074,364,42,12,41,7,5
102,2016-05-05,1082,364,42,12,41,7,5
103,2016-05-09,1087,365,42,12,41,7,5
104,2016-05-11,1102,369,42,12,41,7,5
105,2016-05-12,1109,374,42,12,41,7,5
106,2016-05-14,1110,374,42,12,41,7,5
107,2016-05-15,1112,374,42,12,41,7,5
108,2016-05-17,1135,378,43,12,42,7,5
109,2016-05-18,1162,382,44,12,42,7,5
110,2016-05-20,1169,386,44,12,42,7,5
111,2016-05-21,1170,388,44,12,42,7,5
112,2016-05-22,1172,388,44,12,42,7,5
